vehicle,fm,Mileage,lh,lc,mc,State
1228,2,1101,1.6,156.19,145.08,NY
1229,1,2500,0.9,62.42,119.66,LA
1230,1,138,6.9,484.5,119.66,TX
1231,1,526,5.5,427.9,119.66,TX
1232,0,94,1.4,113.52,128.21,GA
1233,14,13618,3.4,333.79,134.35,CA
1234,12,41970,5.9,403.02,119.66,VA
1235,1,456,5.4,387.23,119.66,TX
1236,16,51516,6.6,418.2,200.54,PA
1237,1,644,5.6,357.18,119.66,FL
1238,1,237,1.2,69.88,119.66,MS
1239,0,14,2,123.63,119.66,SD
1240,9,73301,3.4,210.8,405.27,SC
1241,14,31689,7,516.97,119.66,IA
1242,15,53069,2.8,222.67,119.66,MI
1243,5,10299,3,278.7,175.46,CA
1244,0,5,1.1,64.6,117.18,NY
1245,1,1930,2.4,159.3,119.66,MD
1246,2,1777,2.4,150.28,175.46,FL
1247,10,34306,6.5,489.64,297.89,FL
1248,1,354,2.4,166.82,119.66,FL
1249,1,632,1.8,179.1,119.66,NY
1250,3,12259,5.3,374.09,460.58,AZ
1251,8,14970,0.8,41.44,128.21,GA
1252,2,2896,3.1,229.4,175.45,TN
1253,0,300,5.3,307.88,119.66,LA
1254,1,633,2,148.4,119.66,FL
1255,6,5954,20.2,1903.43,184.86,NY
1256,18,23642,1.3,94.69,175.46,MN
1257,20,20171,3.5,198.99,119.66,PA
1258,2,98,2.2,170.94,176.26,RI
1259,0,16,1.2,98.03,119.66,NC
1260,2,883,2.2,214.79,119.66,NY
1261,10,27934,6.7,573.4,119.66,CA
1262,15,17894,2.3,182.85,118.47,TX
1263,16,16348,4.3,302.7,119.66,TX
1264,0,334,2.7,209.95,206.14,CA
1265,5,11932,2.9,208.24,175.46,TX
1266,8,47370,12.9,923.41,944.14,MO
1267,14,33466,4.6,326.6,175.46,TX
1268,3,3465,3.8,257.31,119.66,TX
1269,8,10500,2.6,169,118.47,AR
1270,1,401,2.9,214.01,119.66,UT
1271,12,24988,4.3,308.77,119.66,TX
1272,11,17159,2.4,173.35,119.66,WA
1273,14,37567,3.7,314.37,119.66,CA
1274,21,61735,2.9,228.25,290.55,FL
1275,6,12455,3,203.14,141.16,TX
1276,14,32178,4.1,306.78,131,FL
1277,5,15003,3.9,326.84,119.66,CA
1278,0,16,3.8,327.81,119.66,CA
1279,5,1498,3,256,119.66,CA
1280,22,47213,6.3,528.97,175.46,TX
1281,9,14829,4.5,376.9,380.83,CO
1282,12,20510,2.8,186.2,55.8,MI
1283,12,16762,2.8,189.6,287.76,TX
1284,14,10254,4.7,364.29,1428.78,AZ
1285,9,32622,7.4,586.95,57.55,NV
1286,10,6293,3.7,286.01,119.66,UT
1287,19,13643,4,349.67,175.46,CA
1288,6,11702,2,149.14,119.66,FL
1289,2,3744,12.7,912.36,364.38,NM
1290,7,10850,6.7,535.38,261.93,NV
1291,11,28320,2,118.37,119.66,WV
